"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6
12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7
8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6
7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6
9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,5
12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5
7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5
9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,6
9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5
7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6
6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7
6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6
6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,6
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6
9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,6
9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6
8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7
7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6
7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5
7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,6
7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6
8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5
9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6
7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,6
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,6
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6
6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5
7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5
6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6
6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
